Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,andar,wakáe-
Chicham,Proto-Shuar,,pava,*wa(ktse)
Chicham,Proto-Shuar,,espíritu,*(wa)káni
Chicham,Proto-Shuar,,estómago,*wáke
Chicham,Proto-Shuar,,regresar,*waké-
Chicham,Proto-Shuar,,pronto,*wámake
Chicham,Proto-Shuar,,bolsa,*wámpachi
Chicham,Proto-Shuar,,flotar,*wampu-
Chicham,Proto-Shuar,,tobillo; muñeca,*wánuse
Chicham,Proto-Shuar,,rápido,*wángi
Chicham,Proto-Shuar,,qué; cosa,"*wangí, wangíi"
Chicham,Proto-Shuar,,sucio,*wapíku
Chicham,Proto-Shuar,,conejo,*wapungúsha
Chicham,Proto-Shuar,,maquisapa (mono),*wáshi
Chicham,Proto-Shuar,,garlito; estera,*washíma
Chicham,Proto-Shuar,,balsa,*wáwa
Chicham,Proto-Shuar,,brujear,*wawé-
Chicham,Proto-Shuar,,hormiga,*wáuma
Chicham,Proto-Shuar,,ir,*we-
Chicham,Proto-Shuar,,sal,*wée
Chicham,Proto-Shuar,,antepasados,*wéga
Chicham,Proto-Shuar,,hormiga comestible,*weeka
Chicham,Proto-Shuar,,"boca, labio",*wénu
Chicham,Proto-Shuar,,ardilla,*wíchingk(i)
Chicham,Proto-Shuar,,rana,*wingisáma
Chicham,Proto-Shuar,,hormiga,*wísuta
Chicham,Proto-Shuar,,"brujo, curandero",*wishinu
Chicham,Proto-Shuar,,quién,*ya
Chicham,Proto-Shuar,,hermano de hombre,*(ya)tsu
Chicham,Proto-Shuar,,ayudar,*yai-
Chicham,Proto-Shuar,,frotar,*yaká-
Chicham,Proto-Shuar,,hombro,*yakái
Chicham,Proto-Shuar,,arriba,*yakí
Chicham,Proto-Shuar,,coto mono,*yakúma
Chicham,Proto-Shuar,,ahora; nuevo; hoy,*yama
Chicham,Proto-Shuar,,achiote,*yámp(iya)
Chicham,Proto-Shuar,,guacamayo,*yampúnaa
Chicham,Proto-Shuar,,cargar al hombro,*yána-
Chicham,Proto-Shuar,,lagarto,*yantánaa
