ID,Name,Concepticon_ID,Concepticon_Gloss,Number,GBIF_ID,GBIF_Name
288_lung,lung,688,LUNG,288,,
289_parrot,parrot,882,PARROT,289,,
290_mosquito,mosquito,1509,MOSQUITO,290,,
291_name,name,1405,NAME,291,,
292_old,old,1229,OLD,292,,
293_owl,owl,735,OWL,293,,
294_pus,pus,1808,PUS,294,,
295_ripe,ripe,178,RIPE,295,,
296_road,road,667,ROAD,296,,
297_root,root,670,ROOT,297,,
298_ropecord,"rope, cord",1218,ROPE,298,,
299_thunder,thunder,1150,THUNDER,299,,
300_tobacco,tobacco,974,TOBACCO,300,,
301_urinate,urinate,592,PISS,301,,
302_pig,pig,1337,PIG,302,,
303_pistiastratiotes,Pistia stratiotes,,,303,2870583,Pistia stratiotes L.
304_cynodondactylon,Cynodon dactylon,,,304,6109637,Cynodon dactylon (L.) Pers.
305_paspalumplicatulum,Paspalum plicatulum,,,305,2705584,Paspalum plicatulum Michx.
306_paspalumrepens,Paspalum repens,,,306,2705655,Paspalum repens P.J.Bergius
307_paspalumunispicatum,Paspalum unispicatum,,,307,2705658,Paspalum unispicatum (Scribn. & Merr.) Nash
308_dendrocygnabicolor,Dendrocygna bicolor,,,308,2498402,"Dendrocygna bicolor (Vieillot, 1816)"
309_eichhorniaazurea,Eichhornia azurea,,,309,2765950,Eichhornia azurea Kunth
310_hymenachneamplexicaulis,Hymenachne amplexicaulis,,,310,2705781,Hymenachne amplexicaulis (Rudge) Nees
311_aramidesypecaha,Aramides ypecaha,,,311,2474657,"Aramides ypecaha (Vieillot, 1819)"
312_turdusamaurochalinus,Turdus amaurochalinus,,,312,2490752,"Turdus amaurochalinus Cabanis, 1850"
313_zeamays,Zea mays,,,313,5290052,Zea mays L.
314_aramusguaraunaguarauna,Aramus guarauna guarauna,,,314,7191383,Aramus guarauna guarauna
315_echinopsisrhodotricha,Echinopsis rhodotricha,,,315,7281220,Echinopsis rhodotricha K.Schum.
316_citrulluslanatus,Citrullus lanatus,,,316,2874621,Citrullus lanatus (Thunb.) Matsumura & Nakai
317_tayassupecari,Tayassu pecari,,,317,2440993,"Tayassu pecari (Link, 1795)"
318_gossypiumhirsutum,Gossypium hirsutum,,,318,3152661,Gossypium hirsutum L.
319_ipomoeacarnea,Ipomoea carnea,,,319,2928590,Ipomoea carnea Jacq.
320_tamanduatetradactyla,Tamandua tetradactyla,,,320,2436340,"Tamandua tetradactyla (Linnaeus, 1758)"
321_crotophagaani,Crotophaga ani,,,321,2496209,"Crotophaga ani Linnaeus, 1758"
322_crotophagamajor,Crotophaga major,,,322,2496210,"Crotophaga major Gmelin, 1788"
323_hold,hold,1448,HOLD,323,,
324_ortaliscanicollis,Ortalis canicollis,,,324,5229443,"Ortalis canicollis (Wagler, 1830)"
