ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
zurdo	LEFT HANDED	2825.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔemáqa	ʔ e m á q a
leg	LEG	1297.0	Proto-Arawakan	araw1281	Arawakan	kawa	k a w a
leg	LEG	1297.0	Proto-Arawakan	araw1281	Arawakan	kati	k a t i
leg	LEG	1297.0	Proto-Chapacuran	chap1271	Chapacuran	ʔatat	ʔ a t a t
leg	LEG	1297.0	Proto-Chibchan	chib1249	Chibchan	kəˈrə	k ə ˈr ə
pierna	LEG	1297.0	Proto-Guaicuru	guai1249	Guaicuruan	qoˀná	q oˀ n á
pierna	LEG	1297.0	Proto-Guaicuru	guai1249	Guaicuruan	tˀi	tˀ i
leg	LEG	1297.0	Proto-Quechuan	quec1387	Quechuan	tʂanka	t ʂ a n k a
pierna	LEG	1297.0	Proto-Shuar	jiva1245	Chicham	kuhápe	k u h á p e
	LEG	1297.0	Proto-Tucanoan	tuca1253	Tucanoan	j.ɨ̃.k.a	j ɨ̃ k a
prestar	LEND	582.0	Proto-Shuar	jiva1245	Chicham	iká	i k á
liberar	LET GO OR SET FREE	1095.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔilote	ʔ i l o t e
soltar	LET GO OR SET FREE	1095.0	Proto-Guaicuru	guai1249	Guaicuruan	eqʔaˀn	e q ʔ aˀ n
release	LET GO OR SET FREE	1095.0	Proto-Quechuan	quec1387	Quechuan	katʂa	k a t ʂ a
cipó	LIANA	2388.0	Proto-Naduhup	nada1235	Naduhup	jub	j u b
cipó	LIANA	2388.0	Proto-Naduhup	nada1235	Naduhup	caɾǒp	c a ɾ ǒ p
to lick	LICK	319.0	Proto-Aymara	ayma1253	Aymaran	haʎpa	h a ʎ p a
to lick	LICK	319.0	Proto-Chapacuran	chap1271	Chapacuran	kedᶻek	k e dᶻ e k
chupar	LICK	319.0	Proto-Chocoan	choc1280	Chocoan	hõ	h õ
chupar	LICK	319.0	Proto-Guaicuru	guai1249	Guaicuruan	apˀi	a pˀ i
chupar	LICK	319.0	Proto-Guaicuru	guai1249	Guaicuruan	apˀiqo	a pˀ i q o
chupar	LICK	319.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀlip	ˀl i p
lamer	LICK	319.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔokˀel	ʔ o kˀ e l
lamber	LICK	319.0	Proto-Naduhup	nada1235	Naduhup	tʼẽ̂piʔ	tʼ ẽ̂ p i ʔ
to lick	LICK	319.0	Proto-Quechuan	quec1387	Quechuan	ʎaqwa	ʎ a q w a
to lick	LICK	319.0	Proto-Zaparoan	zapa1251	Zaparoan	tamə	t a m ə
lid	LID (COVER, CAP)	2319.0	Proto-Aymara	ayma1253	Aymaran	qʰapa	qʰ a p a
lie	LIE (FALSEHOOD)	2826.0	Proto-Quechuan	quec1387	Quechuan	ʎuʎa	ʎ u ʎ a
mentir	LIE (MISLEAD)	601.0	Proto-Guaicuru	guai1249	Guaicuruan	atˀeˀnatˀe	a tˀ eˀ n a tˀ e
mentir	LIE (MISLEAD)	601.0	Proto-Naduhup	nada1235	Naduhup	tɯ̌x	t ɯ̌ x
to lie	LIE (MISLEAD)	601.0	Proto-Panoan	pano1256	Panoan	tʃani	t ʃ a n i
to lie	LIE (MISLEAD)	601.0	Proto-Quechuan	quec1387	Quechuan	ʎuʎa	ʎ u ʎ a
acostado	LIE (REST)	1411.0	Proto-Guaicuru	guai1249	Guaicuruan	oʔo	o ʔ o
acostarse	LIE (REST)	1411.0	Proto-Guaicuru	guai1249	Guaicuruan	akˀa	a kˀ a
acostarse	LIE (REST)	1411.0	Proto-Guaicuru	guai1249	Guaicuruan	oma	o m a
to lie down	LIE DOWN	215.0	Proto-Aymara	ayma1253	Aymaran	winku	w i n k u
to lie down	LIE DOWN	215.0	Proto-Chapacuran	chap1271	Chapacuran	titimˀ	t i t i mˀ
to lie down	LIE DOWN	215.0	Proto-Chapacuran	chap1271	Chapacuran	tiɾimˀ	t i ɾ i mˀ
lie down	LIE DOWN	215.0	Proto-Guahiboan	guah1252	Guahiboan	rúka	r ú k a
acostarse	LIE DOWN	215.0	Proto-Guaicuru	guai1249	Guaicuruan	akˀa	a kˀ a
acostarse	LIE DOWN	215.0	Proto-Guaicuru	guai1249	Guaicuruan	oma	o m a
acostarse	LIE DOWN	215.0	Proto-Guaicuru	guai1249	Guaicuruan	oʔo	o ʔ o
estar deitado	LIE DOWN	215.0	Proto-Macro-Je	nucl1710	Macro-Jean	nũ₂p	n ũ ₂ p
to lie down	LIE DOWN	215.0	Proto-Panoan	pano1256	Panoan	ɽaka	ɽ a k a
acostarse	LIE DOWN	215.0	Proto-Shuar	jiva1245	Chicham	tepa	t e p a
vida	LIFE	210.0	Proto-Guaicuru	guai1249	Guaicuruan	ewiqa	e w i q a
to raise	LIFT	501.0	Proto-Aymara	ayma1253	Aymaran	luqa	l u q a
light	LIGHT (COLOR)	250.0	Proto-Arawakan	araw1281	Arawakan	lʊkʊ	l ʊ k ʊ
light	LIGHT (COLOR)	250.0	Proto-Aymara	ayma1253	Aymaran	qʰana	qʰ a n a
to light a fire	LIGHT (IGNITE)	737.0	Proto-Chapacuran	chap1271	Chapacuran	puː	p uː
encender	LIGHT (IGNITE)	737.0	Proto-Guaicuru	guai1249	Guaicuruan	gede	g e d e
encender	LIGHT (IGNITE)	737.0	Proto-Guaicuru	guai1249	Guaicuruan	qate	q a t e
luz	LIGHT (RADIATION)	630.0	Proto-Guaicuru	guai1249	Guaicuruan	nalóʔ	n a l ó ʔ
light	LIGHT (RADIATION)	630.0	Proto-Quechuan	quec1387	Quechuan	at͡ʃki	a t͡ʃ k i
light	LIGHT (RADIATION)	630.0	Proto-Quechuan	quec1387	Quechuan	akt͡ʃi	a k t͡ʃ i
light	LIGHT (RADIATION)	630.0	Proto-Quechuan	quec1387	Quechuan	at͡ʃik	a t͡ʃ i k
liviano	LIGHT (WEIGHT)	1052.0	Proto-Guaicuru	guai1249	Guaicuruan	tʃˀate	t ʃˀ a t e
flash of lightning	LIGHTNING	1654.0	Proto-Panoan	pano1256	Panoan	karak	k a r a k
relámpago	LIGHTNING	1654.0	Proto-Shuar	jiva1245	Chicham	pééma	p éé m a
to like	LIKE	1117.0	Proto-Panoan	pano1256	Panoan	noi	n oi
lime	LIME (FRUIT)	982.0	Proto-Quechuan	quec1387	Quechuan	isku	i s k u
lime	LIME (FRUIT)	982.0	Proto-Quechuan	quec1387	Quechuan	iʃku	i ʃ k u
renguear	LIMP	366.0	Proto-Guaicuru	guai1249	Guaicuruan	ajóde	a j ó d e
limp	LIMP	366.0	Proto-Quechuan	quec1387	Quechuan	wiʃtu	w i ʃ t u
cojear	LIMP	366.0	Proto-Shuar	jiva1245	Chicham	sutu	s u t u
line	LINE	1048.0	Proto-Aymara	ayma1253	Aymaran	ʃiqi	ʃ i q i
