ID,Name,Glottocode,Family,Latitude,Longitude
l126,Záparo,zapa1253,Zaparoan,-1.99871,-76.364
l127,Ayoreo,ayor1240,Zamucoan,-19.220055,-60.217495
l128,Bare,bare1276,Arawakan,1.91649,-66.828
l129,Barí,bari1297,Chibchan,9.08497,-72.9353
l130,Cha'Palaa,chac1249,Barbacoan,0.71489,-79.0508
l131,Chácobo,chac1251,Panoan,-12.133,-66.7164
l132,Ese Ejja,esee1248,Tacanan,-11.7268,-67.515
l133,Ignaciano,igna1246,Arawakan,-15.1188,-65.3993
l134,Kakataibo,cash1251,Panoan,-8.70232,-75.4206
l135,Kamayurá,kama1373,Tupian,-12.2661,-53.4651
l136,Lengua,leng1262,Enlhet-Enenlhet,,
l137,Mandawaka,mand1448,Arawakan,1.48,-66.52
l138,Mocoví,moco1246,Guaicuruan,-28.097,-60.4145
l139,Nadëb/Rio Negro Dialect,rion1246,Naduhup,,
l140,Pacahuara,paca1246,Panoan,-11.9968,-65.5568
l141,Pemon,pemo1248,Cariban,4.97031,-61.4033
l142,Pilagá,pila1245,Guaicuruan,-25.0058,-60.1537
l143,Qawasqar,qawa1238,Kawesqaran,-49.303195,-74.707536
l144,Sanapaná/Dialect Angaité,anga1316,Enlhet-Enenlhet,-22.85,-58.45
l145,Sanapaná/Dialect Enlhet,sana1298,Enlhet-Enenlhet,-22.49,-58.38
l146,Selknam,onaa1245,Chonan,-54.0,-68.5
l147,Shipibo-Konibo,ship1254,Panoan,-7.17105,-74.8219
l148,Southern Pastaza Quechua,sout2990,Quechuan,-3.32733,-76.527
l149,Tehuelche,tehu1242,Chonan,-47.5796,-68.3235
l150,Toba,toba1269,Guaicuruan,-23.77,-61.96
l151,Trinitario,trin1278,Arawakan,,
l152,Trumai,trum1247,Isolate,-11.8119,-53.5717
l153,Wayuu,wayu1243,Arawakan,11.395566,-72.199791
l154,Yaminahua,yami1256,Panoan,-9.8846,-71.5964
l155,Yine,yine1238,Arawakan,-11.1086,-73.3087
l156,Waurá,waur1244,Arawakan,-13.296,-53.6971
